generation individual worker  nCores        st        ft
         4         37     10        1	    332	       376
         4         38     10        1	    332	       391
         4         39     10        1	    332	       379
         4         40     10        1	    332	       391

         4         41     11        1	    332	       394
         4         42     11        1	    332	       369
         4         43     11        1	    332	       384
         4         44     11        1	    332	       366
         4         45     11        1	    332	       360
         4         46     11        1	    332	       395
         4         47     11        1	    332	       354
         4         48     11        1	    332	       385

         4         49     12        1	    332	       361
         4         50     12        1	    332	       371
         4         51     12        1	    332	       363
         4         52     12        1	    332	       447
         4         53     12        1	    332	       354
         4         54     12        1	    332	       343
         4         55     12        1	    332	       345
         4         56     12        1	    332	       372

         4         57     13        1	    332	       337
         4         58     13        1	    332	       338
         4         59     13        1	    332	       424
         4         60     13        1	    332	       366
         4         NA               	     NA	       
         4         NA               	     NA	       
         4         NA               	     NA	       
         4         NA               	     NA	          

         5          1      1        8	    443        482
         5          2      2        4	    443        480
         5          3      2        4	    443        511
         5          4      3        2	    443        500
         5          5      3        2	    443        526
         5          6      3        2	    443        527
         5          7      3        1	    443        519
         5          8      3        1	    443        490

         5          9      4        1 	  443        458
         5         10      4        1	    443        463
         5         11      4        1	    443        477
         5         12      4        1	    443        498
         5         13      4        1	    443        496
         5         14      4        1	    443        447
         5         15      4        1	    443        479
         5         16      4        1	    443        488

         5         17      5        1     443        493 
         5         18      5        1     443        524
         5         19      5        1     443        498
         5         20      5        1     443        459
         5         21      5        1     443        448
         5         22      5        1     443        526
         5         23      5        1     443        474
         5         24      5        1     443        509

         5         25      6        1	    443        494
         5         26      6        1	    443        514
         5         27      6        1	    443        509
         5         28      6        1	    443        493
         5         29      6        1	    443        490
         5         30      6        1	    443        507
         5         31      6        1	    443        505
         5         32      6        1	    443        487

         5         33      7        1     443        486
         5         34      7        1     443        501
         5         35      7        1     443        470
         5         36      7        1     443        514
         5         37      7        1     443        466
         5         38      7        1     443        495
         5         39      7        1     443        466
         5         40      7        1     443        490

         5         41      8        1     443        468
         5         42      8        1     443        466
         5         43      8        1     443        554
         5         44      8        1     443        472
         5         45      8        1     443        482
         5         46      8        1     443        453
         5         47      8        1     443        487
         5         48      8        1     443        457

         5         49      9        1     443        480
         5         50      9        1     443        474
         5         51      9        1     443        465
         5         52      9        1     443        448
         5         53      9        1     443        544
         5         54      9        1     443        449
         5         55      9        1     443        535
         5         56      9        1     443        454

         5         57     10        1     443        451
         5         58     10        1     443        446
         5         59     10        1     443        447
         5         60     10        1     443        482
         5         NA               	     NA	          
         5         NA               	     NA	          
         5         NA               	     NA	          
         5         NA               	     NA	          

         6          1       1       8	    554        644   
         6          2       2       8     554	       588
         6          3       3       8	    554        648
         6          4       4       8	    554        622
         6          5       5       4 	  554        599
         6          6       6       4	    554        589
         6          7       7       4	    554        585
         6          8       7       2	    554        629

         6          9       7       2	    554	       635
         6         10       8       2	    554	       576
         6         11       8       2	    554	       665
         6         12       8       2	    554	       606
         6         13       8       2	    554	       645
         6         14       9       2 	  554	       616
         6         15       9       2 	  554	       631
         6         16       9       1 	  554	       601

         6         17       9       1	    554	       600
         6         18       9       1	    554	       571
         6         19       9       1	    554	       575
         6         20      10       1	    554	       589
         6         21      10       1	    554	       612
         6         22      10       1	    554	       614
         6         23      10       1	    554	       558
         6         24      10       1	    554	       588

         6         25      10       1	    554        614
         6         26      10       1	    554        605
         6         27      10       1	    554        637
         6         28      11       1	    554        572
         6         29      11       1	    554        558
         6         30      11       1	    554        624
         6         31      11       1	    554        604
         6         32      11       1	    554        585

         6         33      11       1	    554	       616  
         6         34      11       1	    554	       605
         6         35      11       1	    554	       620
         6         36      12       1	    554	       595  
         6         37      12       1	    554	       604
         6         38      12       1	    554	       601
         6         39      12       1	    554	       606
         6         40      12       1	    554	       591

         6         41      12       1 	  554	       621
         6         42      12       1 	  554	       591
         6         43      12       1 	  554	       594
         6         44      13       1     554	       607
         6         45      13       1     554	       666
         6         46      13       1     554	       583
         6         47      13       1     554	       640
         6         48      13       1     554	       582

         6         49      13       1     554	       579
         6         50      13       1     554	       608
         6         51      13       1     554	       659
         6         52      14       1     554	       577
         6         53      14       1     554	       596
         6         54      14       1     554	       579
         6         55      14       1     554	       666
         6         56      14       1     554	       590

         6         57      14       1     554	       580
         6         58      14       1     554	       567
         6         59      14       1     554	       570
