taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
5008 10850 5 60 460 1 1 jonquera-ga-8-cores C5 C4
5009 10850 5 60 600 1 1 jonquera-ga-8-cores C5 C4
5010 10850 5 60 600 1 1 jonquera-ga-8-cores C5 C4
5011 10850 5 60 660 1 1 jonquera-ga-8-cores C5 C4
5012 10850 5 60 760 1 1 jonquera-ga-8-cores C5 C4
5013 10850 5 60 740 1 1 jonquera-ga-8-cores C5 C4
5014 10850 5 60 930 1 1 jonquera-ga-8-cores C5 C4
5015 10850 5 60 680 1 1 jonquera-ga-8-cores C5 C4
5016 10850 5 60 1830 1 1 jonquera-ga-8-cores C5 C4
5017 10850 5 60 2160 1 1 jonquera-ga-8-cores C5 C4
5018 10850 5 60 930 1 1 jonquera-ga-8-cores C5 C4
5019 10850 5 60 420 1 1 jonquera-ga-8-cores C5 C4
5020 10850 5 60 1290 1 1 jonquera-ga-8-cores C5 C4
5021 10850 5 60 890 1 1 jonquera-ga-8-cores C5 C4
5022 10850 5 60 600 1 1 jonquera-ga-8-cores C5 C4
5023 10850 5 60 950 1 1 jonquera-ga-8-cores C5 C4
5024 10850 5 60 1010 1 1 jonquera-ga-8-cores C5 C4
5025 10850 5 60 1130 1 1 jonquera-ga-8-cores C5 C4
5026 10850 5 60 700 1 1 jonquera-ga-8-cores C5 C4
5027 10850 5 60 850 1 1 jonquera-ga-8-cores C5 C4
5028 10850 5 60 1070 1 1 jonquera-ga-8-cores C5 C4
5029 10850 5 60 1220 1 1 jonquera-ga-8-cores C5 C4
5030 10850 5 60 810 1 1 jonquera-ga-8-cores C5 C4
5031 10850 5 60 560 1 1 jonquera-ga-8-cores C5 C4
5032 10850 5 60 1130 1 1 jonquera-ga-8-cores C5 C4
5033 10850 5 60 2110 1 1 jonquera-ga-8-cores C5 C4
5034 10850 5 60 1380 1 1 jonquera-ga-8-cores C5 C4
5035 10850 5 60 1180 1 1 jonquera-ga-8-cores C5 C4
5036 10850 5 60 1970 1 1 jonquera-ga-8-cores C5 C4
5037 10850 5 60 1460 1 1 jonquera-ga-8-cores C5 C4
5038 10850 5 60 1770 1 1 jonquera-ga-8-cores C5 C4
5039 10850 5 60 1740 1 1 jonquera-ga-8-cores C5 C4
5040 10850 5 60 1700 1 1 jonquera-ga-8-cores C5 C4
5041 10850 5 60 300 1 1 jonquera-ga-8-cores C5 C4
5042 10850 5 60 280 1 1 jonquera-ga-8-cores C5 C4
5043 10850 5 60 2360 1 1 jonquera-ga-8-cores C5 C4
5044 10850 5 60 2480 1 1 jonquera-ga-8-cores C5 C4
5045 10850 5 60 1150 1 1 jonquera-ga-8-cores C5 C4
5046 10850 5 60 1350 1 1 jonquera-ga-8-cores C5 C4
5047 10850 5 60 520 1 1 jonquera-ga-8-cores C5 C4
5048 10850 5 60 1870 1 1 jonquera-ga-8-cores C5 C4
