taskId time jobId jobSize runtime user peer TraceID Cluster.IAT Cluster.RT
 197259  90288   71  9843  565   8   8 gwa-t10 C2 C2
 197260  90288   71  9843 2725   8   8 gwa-t10 C2 C2
 197261  90288   71  9843 4841   8   8 gwa-t10 C2 C2
 197262  90288   71  9843 1983   8   8 gwa-t10 C2 C2
 197263  90288   71  9843 4078   8   8 gwa-t10 C2 C2
 197264  90288   71  9843 1711   8   8 gwa-t10 C2 C2
 197265  90288   71  9843 2885   8   8 gwa-t10 C2 C2
 197266  90288   71  9843 1450   8   8 gwa-t10 C2 C2
 197267  90288   71  9843 1951   8   8 gwa-t10 C2 C2
 197268  90288   71  9843 2316   8   8 gwa-t10 C2 C2
 197269  90288   71  9843 3627   8   8 gwa-t10 C2 C2
 197270  90288   71  9843 3896   8   8 gwa-t10 C2 C2
 197271  90288   71  9843 2278   8   8 gwa-t10 C2 C2
 197272  90288   71  9843 1641   8   8 gwa-t10 C2 C2
 197273  90288   71  9843 2555   8   8 gwa-t10 C2 C2
 197274  90288   71  9843 3183   8   8 gwa-t10 C2 C2
 197275  90288   71  9843 2651   8   8 gwa-t10 C2 C2
 197276  90288   71  9843 2336   8   8 gwa-t10 C2 C2
 197277  90288   71  9843 3609   8   8 gwa-t10 C2 C2
 197278  90288   71  9843 1702   8   8 gwa-t10 C2 C2
 197279  90288   71  9843 4331   8   8 gwa-t10 C2 C2
 197280  90288   71  9843 4408   8   8 gwa-t10 C2 C2
 197281  90288   71  9843 1661   8   8 gwa-t10 C2 C2
 197282  90288   71  9843 2259   8   8 gwa-t10 C2 C2
 197283  90288   71  9843 4654   8   8 gwa-t10 C2 C2
 197284  90288   71  9843 4586   8   8 gwa-t10 C2 C2
 197285  90288   71  9843 1060   8   8 gwa-t10 C2 C2
 197286  90288   71  9843 1781   8   8 gwa-t10 C2 C2
 197287  90288   71  9843 3044   8   8 gwa-t10 C2 C2
 197288  90288   71  9843 1925   8   8 gwa-t10 C2 C2
 197289  90288   71  9843  311   8   8 gwa-t10 C2 C2
 197290  90288   71  9843 3057   8   8 gwa-t10 C2 C2
 197291  90288   71  9843 1416   8   8 gwa-t10 C2 C2
 197292  90288   71  9843 4510   8   8 gwa-t10 C2 C2
 197293  90288   71  9843 4191   8   8 gwa-t10 C2 C2
 197294  90288   71  9843 5590   8   8 gwa-t10 C2 C2
 197295  90288   71  9843 4842   8   8 gwa-t10 C2 C2
 197296  90288   71  9843 2938   8   8 gwa-t10 C2 C2
 197297  90288   71  9843 4451   8   8 gwa-t10 C2 C2
 197298  90288   71  9843 5031   8   8 gwa-t10 C2 C2
 197299  90288   71  9843 3092   8   8 gwa-t10 C2 C2
 197300  90288   71  9843 5100   8   8 gwa-t10 C2 C2
 197301  90288   71  9843 3103   8   8 gwa-t10 C2 C2
 197302  90288   71  9843  938   8   8 gwa-t10 C2 C2
 197303  90288   71  9843 3974   8   8 gwa-t10 C2 C2
 197304  90288   71  9843 2693   8   8 gwa-t10 C2 C2
 197305  90288   71  9843 1681   8   8 gwa-t10 C2 C2
 197306  90288   71  9843 2775   8   8 gwa-t10 C2 C2
 197307  90288   71  9843 2201   8   8 gwa-t10 C2 C2
 197308  90288   71  9843 2367   8   8 gwa-t10 C2 C2
 197309  90288   71  9843  898   8   8 gwa-t10 C2 C2
 197310  90288   71  9843 3623   8   8 gwa-t10 C2 C2
 197311  90288   71  9843 4128   8   8 gwa-t10 C2 C2
 197312  90288   71  9843  308   8   8 gwa-t10 C2 C2
 197313  90288   71  9843 6143   8   8 gwa-t10 C2 C2
 197314  90288   71  9843 1385   8   8 gwa-t10 C2 C2
 197315  90288   71  9843 1467   8   8 gwa-t10 C2 C2
 197316  90288   71  9843 3833   8   8 gwa-t10 C2 C2
 197317  90288   71  9843 2977   8   8 gwa-t10 C2 C2
 197318  90288   71  9843 1120   8   8 gwa-t10 C2 C2
 197319  90288   71  9843 2158   8   8 gwa-t10 C2 C2
